hex_id,top05_freq,top05_ever,top05_always,top10_freq,top10_ever,top10_always
80,0.0,False,False,0.0,False,False
81,0.0,False,False,0.0,False,False
82,0.0,False,False,0.0,False,False
83,0.0,False,False,0.0,False,False
84,0.0,False,False,0.0,False,False
85,0.0,False,False,0.0,False,False
86,0.0,False,False,0.0,False,False
87,0.0,False,False,0.0,False,False
88,0.0,False,False,0.0,False,False
89,0.0,False,False,0.0,False,False
90,0.0,False,False,0.0,False,False
91,0.0,False,False,0.0,False,False
92,0.0,False,False,0.0,False,False
100,0.0,False,False,0.0,False,False
101,0.0,False,False,0.0,False,False
102,0.0,False,False,0.0,False,False
103,0.0,False,False,0.0,False,False
104,0.0,False,False,0.0,False,False
105,0.0,False,False,0.0,False,False
106,0.0,False,False,0.0,False,False
107,0.0,False,False,0.0,False,False
108,0.0,False,False,0.0,False,False
109,0.0,False,False,0.0,False,False
110,0.0,False,False,0.0,False,False
111,0.0,False,False,0.0,False,False
112,0.0,False,False,0.0,False,False
113,0.0,False,False,0.0,False,False
114,0.0,False,False,0.0,False,False
115,0.0,False,False,0.0,False,False
116,0.0,False,False,0.0,False,False
117,0.0,False,False,0.0,False,False
118,0.0,False,False,0.0,False,False
119,0.0,False,False,0.0,False,False
120,0.0,False,False,0.0,False,False
121,0.0,False,False,0.0,False,False
122,0.0,False,False,0.0,False,False
123,0.0,False,False,0.0,False,False
124,0.0,False,False,0.0,False,False
125,0.0,False,False,0.0,False,False
135,0.0,False,False,0.0,False,False
136,0.0,False,False,0.0,False,False
137,0.0,False,False,0.0,False,False
138,0.0,False,False,0.0,False,False
139,0.0,False,False,0.9333333333333333,True,False
140,0.0,False,False,0.9333333333333333,True,False
141,0.8,True,False,1.0,True,True
142,0.6,True,False,1.0,True,True
143,0.0,False,False,0.9333333333333333,True,False
144,0.0,False,False,0.8,True,False
145,0.0,False,False,0.9333333333333333,True,False
146,0.0,False,False,0.9333333333333333,True,False
147,0.0,False,False,0.0,False,False
148,0.0,False,False,0.0,False,False
149,0.0,False,False,0.0,False,False
150,0.0,False,False,0.0,False,False
151,0.0,False,False,0.0,False,False
152,0.2,True,False,0.8,True,False
153,0.2,True,False,0.8,True,False
154,0.2,True,False,0.8,True,False
155,0.0,False,False,0.3333333333333333,True,False
156,0.0,False,False,0.3333333333333333,True,False
157,0.0,False,False,0.13333333333333333,True,False
158,0.0,False,False,0.13333333333333333,True,False
159,0.0,False,False,0.0,False,False
160,0.0,False,False,0.13333333333333333,True,False
161,0.0,False,False,0.0,False,False
162,0.0,False,False,0.4666666666666667,True,False
163,0.0,False,False,0.13333333333333333,True,False
164,0.0,False,False,0.0,False,False
165,0.0,False,False,0.0,False,False
166,0.0,False,False,0.0,False,False
167,0.0,False,False,0.0,False,False
168,0.0,False,False,0.0,False,False
169,0.0,False,False,0.0,False,False
170,0.0,False,False,0.0,False,False
171,0.0,False,False,0.0,False,False
172,0.0,False,False,0.0,False,False
173,0.0,False,False,0.0,False,False
174,0.0,False,False,0.0,False,False
175,0.0,False,False,0.0,False,False
176,0.0,False,False,0.0,False,False
177,0.0,False,False,0.0,False,False
178,0.0,False,False,0.0,False,False
179,0.0,False,False,0.0,False,False
180,0.0,False,False,0.0,False,False
181,0.0,False,False,0.0,False,False
182,0.0,False,False,0.0,False,False
183,0.0,False,False,0.0,False,False
184,0.0,False,False,0.0,False,False
185,0.0,False,False,0.0,False,False
186,0.0,False,False,0.0,False,False
187,0.0,False,False,0.0,False,False
188,0.0,False,False,0.0,False,False
189,0.0,False,False,0.0,False,False
190,0.0,False,False,0.0,False,False
199,0.0,False,False,0.0,False,False
200,0.0,False,False,0.0,False,False
201,0.0,False,False,0.0,False,False
